Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,HZ,VC,FU,BC,SQ,FG+,MI,TS,DZ,RA,BR,FG,SN
0,1,2007-05-01,83.0,50.0,67.0,14.0,51.0,56.0,0.0,2.0,0.0,29.1,29.82,1.7,27,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2007-05-01,84.0,50.0,67.5,29.5,51.0,56.5,0.0,2.0,0.0,29.14,29.82,2.7,25,9.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2007-05-02,84.0,42.0,62.0,-3.0,48.0,53.333333333333336,14.0,0.0,0.0,29.22,29.91,13.0,4,10.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
3,2,2007-05-02,84.0,42.0,59.5,29.5,46.5,51.75,14.0,0.0,0.0,29.275,29.9525,13.3,2,11.399999999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
4,1,2007-05-03,84.0,42.0,58.8,2.0,45.2,51.0,14.0,0.0,0.0,29.298000000000002,29.986,13.3,7,11.499999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
5,2,2007-05-03,84.0,42.0,58.666666666666664,29.5,44.333333333333336,50.833333333333336,14.0,0.0,0.0,29.325000000000003,30.008333333333336,13.3,6,11.783333333333331,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
6,1,2007-05-04,84.0,42.0,58.57142857142857,4.0,43.857142857142854,50.714285714285715,14.0,0.0,0.0,29.322857142857146,30.014285714285716,13.3,8,11.64285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0
7,2,2007-05-04,84.0,42.0,54.9375,29.5,43.625,50.625,29.5,0.0,0.0,29.3275,30.017500000000002,13.3,7,11.487499999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0
8,1,2007-05-05,84.0,42.0,55.5,5.0,43.0,50.44444444444444,29.5,0.0,0.0,29.335555555555555,30.026666666666667,13.3,7,11.544444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0
9,2,2007-05-05,84.0,42.0,55.95,29.5,42.6,50.4,29.5,0.0,0.0,29.347999999999995,30.032999999999998,13.3,7,11.54,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0
